number,contract_name,address,latitude,longitude,banking,"bonus, bike_stands",available_bike_stands,available_bikes,status,last_update
2,42,1550765147000,1,True,False,30,26,4,OPEN,Thursday,1607
2,30,1550764947000,1,True,False,20,20,0,OPEN,Thursday,1607
2,54,1550765204000,1,False,False,33,26,7,OPEN,Thursday,1607
2,108,1550764675000,1,False,False,40,39,0,OPEN,Thursday,1607
2,56,1550765198000,1,False,False,40,3,37,OPEN,Thursday,1607
2,6,1550765188000,1,False,False,20,20,0,OPEN,Thursday,1607
2,18,1550765045000,1,True,False,30,30,0,OPEN,Thursday,1607
2,32,1550765207000,1,True,False,30,20,10,OPEN,Thursday,1607
2,52,1550765014000,1,False,False,32,24,8,OPEN,Thursday,1607
2,48,1550765013000,1,False,False,40,11,29,OPEN,Thursday,1607
2,13,1550764862000,1,False,False,30,8,21,OPEN,Thursday,1607
2,43,1550765143000,1,True,False,30,24,6,OPEN,Thursday,1607
2,81,1550765028000,1,False,False,40,39,1,OPEN,Thursday,1607
2,31,1550765039000,1,False,False,20,17,3,OPEN,Thursday,1607
2,98,1550765184000,1,True,False,40,29,11,OPEN,Thursday,1607
2,14,1550765193000,1,False,False,30,4,25,OPEN,Thursday,1607
2,23,1550765218000,1,True,False,30,26,4,OPEN,Thursday,1607
2,106,1550765135000,1,False,False,40,40,0,OPEN,Thursday,1607
2,112,1550765131000,1,False,False,30,22,8,OPEN,Thursday,1607
2,68,1550765178000,1,True,False,40,1,39,OPEN,Thursday,1607
2,74,1550765173000,1,False,False,30,20,10,OPEN,Thursday,1607
2,87,1550764826000,1,True,False,38,35,3,OPEN,Thursday,1607
2,84,1550764965000,1,False,False,30,30,0,OPEN,Thursday,1607
2,90,1550765205000,1,False,False,40,10,30,OPEN,Thursday,1607
2,11,1550765178000,1,False,False,30,6,24,OPEN,Thursday,1607
2,17,1550765198000,1,False,False,20,19,1,OPEN,Thursday,1607
2,45,1550765217000,1,False,False,30,22,8,OPEN,Thursday,1607
2,114,1550765216000,1,True,False,40,8,32,OPEN,Thursday,1607
2,72,1550765082000,1,False,False,31,31,0,OPEN,Thursday,1607
2,63,1550764837000,1,False,False,35,10,25,OPEN,Thursday,1607
2,113,1550764623000,1,True,False,40,2,38,OPEN,Thursday,1607
2,91,1550765124000,1,False,False,30,16,14,OPEN,Thursday,1607
2,99,1550764631000,1,False,False,30,5,25,OPEN,Thursday,1607
2,9,1550765189000,1,False,False,24,10,14,OPEN,Thursday,1607
2,67,1550765031000,1,False,False,40,8,32,OPEN,Thursday,1607
2,55,1550765083000,1,False,False,36,30,6,OPEN,Thursday,1607
2,62,1550765209000,1,False,False,40,11,29,OPEN,Thursday,1607
2,5,1550764951000,1,False,False,40,32,8,OPEN,Thursday,1607
2,97,1550765191000,1,True,False,40,35,5,OPEN,Thursday,1607
2,61,1550764912000,1,True,False,25,25,0,OPEN,Thursday,1607
2,77,1550765192000,1,False,False,29,25,4,OPEN,Thursday,1607
2,73,1550764992000,1,False,False,30,30,0,OPEN,Thursday,1607
2,4,1550765019000,1,False,False,20,18,2,OPEN,Thursday,1607
2,49,1550765216000,1,False,False,40,11,29,OPEN,Thursday,1607
2,19,1550765221000,1,False,False,30,18,11,OPEN,Thursday,1607
2,7,1550764812000,1,True,False,29,28,1,OPEN,Thursday,1607
2,60,1550765023000,1,False,False,30,27,3,OPEN,Thursday,1607
2,102,1550764994000,1,False,False,40,29,11,OPEN,Thursday,1607
2,38,1550764948000,1,False,False,40,32,8,OPEN,Thursday,1607
2,53,1550765088000,1,False,False,40,17,23,OPEN,Thursday,1607
2,58,1550765213000,1,True,False,40,9,31,OPEN,Thursday,1607
2,66,1550765218000,1,False,False,40,11,29,OPEN,Thursday,1607
2,104,1550764810000,1,True,False,40,36,4,OPEN,Thursday,1607
2,101,1550764853000,1,False,False,30,29,1,OPEN,Thursday,1607
2,115,1550765189000,1,False,False,30,28,2,OPEN,Thursday,1607
2,47,1550765220000,1,False,False,40,4,36,OPEN,Thursday,1607
2,8,1550765216000,1,False,False,30,10,20,OPEN,Thursday,1607
2,27,1550765216000,1,False,False,20,13,7,OPEN,Thursday,1607
2,16,1550765203000,1,False,False,20,19,1,OPEN,Thursday,1607
2,96,1550765170000,1,False,False,30,25,5,OPEN,Thursday,1607
2,82,1550764863000,1,False,False,22,22,0,OPEN,Thursday,1607
2,76,1550765202000,1,False,False,38,34,4,OPEN,Thursday,1607
2,71,1550765140000,1,True,False,40,40,0,OPEN,Thursday,1607
2,79,1550765155000,1,False,False,27,27,0,OPEN,Thursday,1607
2,69,1550765216000,1,False,False,40,9,31,OPEN,Thursday,1607
2,25,1550764942000,1,False,False,30,14,16,OPEN,Thursday,1607
2,51,1550765046000,1,False,False,40,32,8,OPEN,Thursday,1607
2,37,1550764719000,1,True,False,30,24,6,OPEN,Thursday,1607
2,59,1550765061000,1,False,False,20,18,2,OPEN,Thursday,1607
2,95,1550765215000,1,True,False,40,36,4,OPEN,Thursday,1607
2,94,1550764635000,1,False,False,40,40,0,OPEN,Thursday,1607
2,105,1550764799000,1,False,False,36,27,9,OPEN,Thursday,1607
2,36,1550765107000,1,True,False,40,14,26,OPEN,Thursday,1607
2,93,1550764695000,1,False,False,40,40,0,OPEN,Thursday,1607
2,22,1550765137000,1,False,False,20,18,2,OPEN,Thursday,1607
2,50,1550764653000,1,False,False,40,40,0,OPEN,Thursday,1607
2,110,1550765128000,1,False,False,40,40,0,OPEN,Thursday,1607
2,12,1550765151000,1,False,False,20,18,2,OPEN,Thursday,1607
2,34,1550765195000,1,False,False,30,16,14,OPEN,Thursday,1607
2,78,1550764892000,1,False,False,40,38,2,OPEN,Thursday,1607
2,2,1550765013000,1,True,False,20,16,4,OPEN,Thursday,1607
2,75,1550764710000,1,True,False,40,40,0,OPEN,Thursday,1607
2,111,1550765132000,1,True,False,40,39,1,OPEN,Thursday,1607
2,26,1550765210000,1,True,False,20,8,12,OPEN,Thursday,1607
2,65,1550765178000,1,True,False,40,2,38,OPEN,Thursday,1607
2,15,1550764854000,1,False,False,16,14,2,OPEN,Thursday,1607
2,86,1550765045000,1,True,False,38,38,0,OPEN,Thursday,1607
2,35,1550765151000,1,False,False,30,30,0,OPEN,Thursday,1607
2,10,1550764713000,1,True,False,16,11,5,OPEN,Thursday,1607
2,100,1550765213000,1,False,False,25,7,18,OPEN,Thursday,1607
2,24,1550764926000,1,False,False,20,15,5,OPEN,Thursday,1607
2,64,1550764962000,1,True,False,40,19,21,OPEN,Thursday,1607
2,109,1550764974000,1,False,False,29,26,3,OPEN,Thursday,1607
2,85,1550765149000,1,True,False,35,32,3,OPEN,Thursday,1607
2,107,1550765208000,1,True,False,40,23,17,OPEN,Thursday,1607
2,33,1550765193000,1,True,False,23,16,7,OPEN,Thursday,1607
2,44,1550764976000,1,False,False,30,25,5,OPEN,Thursday,1607
2,89,1550764900000,1,True,False,40,11,29,OPEN,Thursday,1607
2,57,1550765029000,1,False,False,23,4,19,OPEN,Thursday,1607
2,80,1550765204000,1,False,False,40,24,16,OPEN,Thursday,1607
2,41,1550765210000,1,False,False,20,12,8,OPEN,Thursday,1607
2,3,1550764953000,1,False,False,20,18,2,OPEN,Thursday,1607
2,46,1550764965000,1,True,False,35,15,5,OPEN,Thursday,1607
2,40,1550765128000,1,True,False,21,15,6,OPEN,Thursday,1607
2,29,1550765078000,1,True,False,29,22,7,OPEN,Thursday,1607
