number,contract_name,address,latitude,longitude,banking,"bonus, bike_stands",available_bike_stands,available_bikes,status,last_update
1,42,1550754829000,1,True,False,30,29,1,OPEN,Thursday,1324
1,30,1550755358000,1,True,False,20,18,2,OPEN,Thursday,1324
1,54,1550754870000,1,False,False,33,29,4,OPEN,Thursday,1324
1,108,1550754921000,1,False,False,40,39,0,OPEN,Thursday,1324
1,56,1550755360000,1,False,False,40,22,17,OPEN,Thursday,1324
1,6,1550755261000,1,False,False,20,17,3,OPEN,Thursday,1324
1,18,1550755184000,1,True,False,30,28,2,OPEN,Thursday,1324
1,32,1550755378000,1,True,False,30,19,11,OPEN,Thursday,1324
1,52,1550755154000,1,False,False,32,12,20,OPEN,Thursday,1324
1,48,1550755029000,1,False,False,40,0,40,OPEN,Thursday,1324
1,13,1550755326000,1,False,False,30,12,17,OPEN,Thursday,1324
1,43,1550755326000,1,True,False,30,28,2,OPEN,Thursday,1324
1,81,1550755352000,1,False,False,40,40,0,OPEN,Thursday,1324
1,31,1550755212000,1,False,False,20,14,6,OPEN,Thursday,1324
1,98,1550755091000,1,True,False,40,7,33,OPEN,Thursday,1324
1,14,1550755191000,1,False,False,30,0,29,OPEN,Thursday,1324
1,23,1550755381000,1,True,False,30,20,9,OPEN,Thursday,1324
1,106,1550755223000,1,False,False,40,40,0,OPEN,Thursday,1324
1,112,1550754909000,1,False,False,30,30,0,OPEN,Thursday,1324
1,68,1550755208000,1,True,False,40,0,40,OPEN,Thursday,1324
1,74,1550755115000,1,False,False,30,21,9,OPEN,Thursday,1324
1,87,1550755133000,1,True,False,38,38,0,OPEN,Thursday,1324
1,84,1550755174000,1,False,False,30,29,1,OPEN,Thursday,1324
1,90,1550755366000,1,False,False,40,17,23,OPEN,Thursday,1324
1,11,1550754992000,1,False,False,30,21,9,OPEN,Thursday,1324
1,17,1550755113000,1,False,False,20,18,2,OPEN,Thursday,1324
1,45,1550754805000,1,False,False,30,30,0,OPEN,Thursday,1324
1,114,1550755221000,1,True,False,40,8,32,OPEN,Thursday,1324
1,72,1550755153000,1,False,False,31,29,2,OPEN,Thursday,1324
1,63,1550755055000,1,False,False,35,10,25,OPEN,Thursday,1324
1,113,1550755100000,1,True,False,40,2,37,OPEN,Thursday,1324
1,91,1550755172000,1,False,False,30,30,0,OPEN,Thursday,1324
1,99,1550755240000,1,False,False,30,6,24,OPEN,Thursday,1324
1,9,1550755342000,1,False,False,24,5,19,OPEN,Thursday,1324
1,67,1550754778000,1,False,False,40,32,8,OPEN,Thursday,1324
1,55,1550755294000,1,False,False,36,13,23,OPEN,Thursday,1324
1,62,1550755376000,1,False,False,40,16,23,OPEN,Thursday,1324
1,5,1550755373000,1,False,False,40,37,3,OPEN,Thursday,1324
1,97,1550755347000,1,True,False,40,35,5,OPEN,Thursday,1324
1,61,1550755349000,1,True,False,25,25,0,OPEN,Thursday,1324
1,77,1550755376000,1,False,False,29,25,4,OPEN,Thursday,1324
1,73,1550755378000,1,False,False,30,29,1,OPEN,Thursday,1324
1,4,1550755356000,1,False,False,20,20,0,OPEN,Thursday,1324
1,49,1550755174000,1,False,False,40,1,37,OPEN,Thursday,1324
1,19,1550755378000,1,False,False,30,4,25,OPEN,Thursday,1324
1,7,1550754882000,1,True,False,29,29,0,OPEN,Thursday,1324
1,60,1550755252000,1,False,False,30,29,1,OPEN,Thursday,1324
1,102,1550754785000,1,False,False,40,40,0,OPEN,Thursday,1324
1,38,1550755334000,1,False,False,40,37,3,OPEN,Thursday,1324
1,53,1550755138000,1,False,False,40,14,25,OPEN,Thursday,1324
1,58,1550755222000,1,True,False,40,22,18,OPEN,Thursday,1324
1,66,1550755066000,1,False,False,40,22,18,OPEN,Thursday,1324
1,104,1550755080000,1,True,False,40,34,6,OPEN,Thursday,1324
1,101,1550755212000,1,False,False,30,30,0,OPEN,Thursday,1324
1,115,1550755360000,1,False,False,30,27,3,OPEN,Thursday,1324
1,47,1550755378000,1,False,False,40,9,30,OPEN,Thursday,1324
1,8,1550755345000,1,False,False,30,20,10,OPEN,Thursday,1324
1,27,1550755342000,1,False,False,20,1,19,OPEN,Thursday,1324
1,16,1550755326000,1,False,False,20,19,1,OPEN,Thursday,1324
1,96,1550755355000,1,False,False,30,29,1,OPEN,Thursday,1324
1,82,1550755123000,1,False,False,22,22,0,OPEN,Thursday,1324
1,76,1550755262000,1,False,False,38,38,0,OPEN,Thursday,1324
1,71,1550755184000,1,True,False,40,38,2,OPEN,Thursday,1324
1,79,1550755347000,1,False,False,27,19,8,OPEN,Thursday,1324
1,69,1550755361000,1,False,False,40,0,38,OPEN,Thursday,1324
1,25,1550755277000,1,False,False,30,10,20,OPEN,Thursday,1324
1,51,1550755272000,1,False,False,40,16,24,OPEN,Thursday,1324
1,37,1550755376000,1,True,False,30,20,9,OPEN,Thursday,1324
1,59,1550754785000,1,False,False,20,20,0,OPEN,Thursday,1324
1,95,1550755168000,1,True,False,40,40,0,OPEN,Thursday,1324
1,94,1550754890000,1,False,False,40,40,0,OPEN,Thursday,1324
1,105,1550754944000,1,False,False,36,26,10,OPEN,Thursday,1324
1,36,1550755120000,1,True,False,40,3,37,OPEN,Thursday,1324
1,93,1550754961000,1,False,False,40,40,0,OPEN,Thursday,1324
1,22,1550755371000,1,False,False,20,14,6,OPEN,Thursday,1324
1,50,1550755376000,1,False,False,40,39,1,OPEN,Thursday,1324
1,110,1550755351000,1,False,False,40,40,0,OPEN,Thursday,1324
1,12,1550755373000,1,False,False,20,20,0,OPEN,Thursday,1324
1,34,1550755031000,1,False,False,30,30,0,OPEN,Thursday,1324
1,78,1550755010000,1,False,False,40,36,4,OPEN,Thursday,1324
1,2,1550755341000,1,True,False,20,20,0,OPEN,Thursday,1324
1,75,1550755211000,1,True,False,40,38,2,OPEN,Thursday,1324
1,111,1550755376000,1,True,False,40,36,4,OPEN,Thursday,1324
1,26,1550755268000,1,True,False,20,2,18,OPEN,Thursday,1324
1,65,1550755106000,1,True,False,40,21,19,OPEN,Thursday,1324
1,15,1550755026000,1,False,False,16,16,0,OPEN,Thursday,1324
1,86,1550754891000,1,True,False,38,38,0,OPEN,Thursday,1324
1,35,1550755022000,1,False,False,30,24,6,OPEN,Thursday,1324
1,10,1550754876000,1,True,False,16,16,0,OPEN,Thursday,1324
1,100,1550754956000,1,False,False,25,23,2,OPEN,Thursday,1324
1,24,1550755377000,1,False,False,20,16,4,OPEN,Thursday,1324
1,64,1550755374000,1,True,False,40,11,29,OPEN,Thursday,1324
1,109,1550754935000,1,False,False,29,28,1,OPEN,Thursday,1324
